title,location,stack,url
Fullstack Python/React Developer,Запоріжжя,"['SQL', 'Django', 'Flask', 'FastAPI', 'MongoDB', 'Docker', 'CI/CD', 'SOLID', 'REST', 'Curio']",https://jobs.dou.ua/companies/elementica/vacancies/258378/
Game Mathematician/Backend Game Developer,"Київ, віддалено","['Flask', 'Git', 'OOP', 'REST', 'Curio']",https://jobs.dou.ua/companies/hraymo/vacancies/262087/
Strong junior or middle software / data engineer (Python),віддалено,"['SQL', 'FastAPI', 'MongoDB', 'Docker', 'Git']",https://jobs.dou.ua/companies/artellence/vacancies/266205/
Automation QA (Python),Київ,"['Pandas', 'NumPy', 'Matplotlib', 'Pytest']",https://jobs.dou.ua/companies/infozahyst/vacancies/262672/
Middle Python Engineer,"за кордоном, віддалено","['SQL', 'Django', 'Flask', 'FastAPI', 'MySQL', 'MongoDB', 'SOLID', 'REST']",https://jobs.dou.ua/companies/american-technologies-network-corp-atn/vacancies/251649/
Software Test Engineer (Python),Київ,['Curio'],https://jobs.dou.ua/companies/materialise/vacancies/266021/
Full-Stack Python/JS Developer,віддалено,"['SQL', 'Django', 'FastAPI', 'SQLAlchemy', 'Celery', 'MongoDB', 'SQLAlchemy', 'Docker', 'Git', 'Pytest', 'AsyncIO']",https://jobs.dou.ua/companies/metinvest-digital/vacancies/265728/
Data Engineer/Python Developer,"Київ, віддалено","['SQL', 'Pandas', 'MongoDB']",https://jobs.dou.ua/companies/mycredit/vacancies/265494/
Middle Automation QA Engineer (Python) (2400044O),"Київ, Львів, Дніпро, Вінниця, віддалено","['Docker', 'OOP', 'Pytest', 'REST']",https://jobs.dou.ua/companies/ciklum/vacancies/265335/
Middle Python Developer (2400043K),"Київ, Львів, Дніпро, Вінниця, віддалено","['Docker', 'Jenkins', 'REST']",https://jobs.dou.ua/companies/ciklum/vacancies/265309/
Викладач/Тренер курсів Python,віддалено,"['SQL', 'Django', 'Git', 'OOP']",https://jobs.dou.ua/companies/cyberbionic-systematics/vacancies/254402/
Python Developer/Part-time Mentor,віддалено,,https://jobs.dou.ua/companies/mate-academy/vacancies/229356/
"Junior С Engineer (Python, CMake)","Київ, Львів, Одеса, Краків (Польща), віддалено",['CI/CD'],https://jobs.dou.ua/companies/plvision/vacancies/264482/
Python Developer,Київ,"['Django', 'FastAPI', 'Celery', 'Redis', 'Docker']",https://jobs.dou.ua/companies/join-to-it/vacancies/264364/
Middle Python Developer,віддалено,"['SQL', 'Django', 'Flask', 'MySQL', 'Git', 'CI/CD', 'REST']",https://jobs.dou.ua/companies/chi-software/vacancies/200400/
Junior/Middle Python Developer (with C++ knowledge),"Київ, віддалено","['Git', 'GitLab']",https://jobs.dou.ua/companies/moduleworks-gmbh/vacancies/231597/
Python Full Stack (AWS) Developer,"Київ, Львів, віддалено","['Git', 'OOP']",https://jobs.dou.ua/companies/nortal/vacancies/221101/
"Data Scraping Specialist (startup, freelance/contract)",віддалено,"['Selenium', 'BeautifulSoup']",https://jobs.dou.ua/companies/jooble/vacancies/255169/
Full Stack Python/React Developer,"Чернівці, Івано-Франківськ","['Django', 'REST']",https://jobs.dou.ua/companies/uvik-software/vacancies/226708/
Middle Python Developer,"Київ, віддалено","['SQL', 'Django', 'Flask', 'Celery', 'MySQL', 'Docker', 'Kubernetes', 'Git', 'CI/CD', 'OOP', 'REST']",https://jobs.dou.ua/companies/kyivstar-tech/vacancies/263620/
Junior/Middle QA Automation (Python),"Гданськ (Польща), віддалено","['SQL', 'Git', 'CI/CD', 'OOP']",https://jobs.dou.ua/companies/quod-financial-ukraine/vacancies/215783/
